Reyex,Reyey,Leyex,Leyey,Rearx,Reary,Learx,Leary,nosex,nosey
995,618,781,578,1110,428,724,381,871,751
1000,599,785,566,1110,423,722,382,877,732
1004,580,786,546,1112,417,724,372,880,706
1007,559,786,525,1117,412,720,364,883,674
1005,543,786,511,1117,405,712,362,882,657
1004,542,785,511,1117,404,708,361,881,658
1001,549,781,525,1114,404,703,368,882,678
1000,569,780,542,1113,406,704,374,880,705
999,576,777,548,1112,406,701,377,875,712
997,576,775,547,1112,404,700,375,874,711
996,576,774,547,1110,403,699,375,874,711
994,575,773,546,1108,401,698,373,873,709
994,576,772,547,1107,402,696,374,871,712
994,582,773,553,1109,406,696,377,871,721
993,587,772,558,1108,407,695,379,870,728
991,593,772,563,1107,408,694,381,871,734
991,595,771,567,1108,409,694,383,872,741
990,597,770,570,1108,410,696,384,869,745
989,599,770,572,1106,409,694,385,868,748
989,603,770,575,1106,409,693,386,867,753
990,606,770,578,1107,411,693,387,869,756
990,607,770,579,1108,411,693,388,870,758
991,607,770,579,1108,411,693,388,870,757
992,606,771,578,1108,410,696,387,872,758
992,606,773,578,1110,410,696,387,872,758
993,607,772,579,1110,410,696,388,872,759
992,607,771,579,1108,410,696,387,871,759
991,609,771,580,1108,410,695,387,869,762
991,611,770,582,1108,410,694,389,869,763
990,611,770,584,1106,410,693,389,870,765
991,612,771,582,1107,409,695,389,870,764
991,612,772,584,1108,409,696,388,871,765
991,615,772,585,1104,407,698,388,870,768
988,613,769,585,1092,402,699,383,869,767
986,610,769,582,1086,400,697,380,868,764
986,606,769,579,1084,399,698,378,869,757
988,605,771,577,1086,399,698,378,871,753
989,607,770,579,1088,401,699,379,871,758
991,615,772,587,1097,407,700,384,872,768
989,619,772,589,1096,406,699,387,871,771
989,619,771,589,1097,406,698,387,871,772
988,618,770,589,1096,407,698,386,869,773
987,618,768,591,1095,407,696,386,868,774
985,619,768,592,1096,407,696,386,867,774
986,620,768,592,1095,408,696,387,867,775
988,621,771,594,1098,408,699,387,870,777
989,623,773,595,1103,411,703,386,870,779
990,624,773,596,1106,414,704,386,872,782
990,622,773,594,1104,411,703,386,871,778
989,622,772,593,1104,411,703,387,871,778
988,622,770,594,1101,411,700,387,869,777
987,621,769,593,1100,411,700,386,868,776
987,620,770,591,1100,410,700,386,868,775
988,623,771,593,1101,411,701,387,869,776
988,624,773,595,1104,413,702,388,871,779
992,626,775,598,1107,414,707,387,873,783
991,626,774,598,1107,414,709,384,873,783
990,628,773,598,1105,414,706,386,872,785
989,628,773,599,1105,414,704,387,871,785
989,627,773,599,1105,414,705,387,872,786
990,629,773,599,1106,415,705,387,872,787
989,629,772,599,1105,415,705,388,871,786
989,627,772,598,1103,414,704,387,872,785
989,628,772,599,1104,414,704,388,872,786
989,628,772,600,1104,415,703,389,873,788
989,628,772,600,1104,414,703,388,873,787
989,628,772,600,1104,414,703,388,872,789
989,629,772,601,1104,414,702,388,872,789
989,630,772,601,1104,414,703,389,873,790
990,630,772,602,1104,414,702,389,874,790
990,631,772,602,1104,415,702,389,873,792
990,631,773,602,1104,415,702,389,874,791
991,631,774,602,1105,416,703,389,874,791
991,631,773,602,1105,416,703,389,874,791
989,631,772,603,1103,416,702,389,873,790
989,631,772,603,1103,416,702,389,872,790
990,632,772,604,1105,418,703,390,872,792
990,632,774,605,1105,419,704,390,872,793
991,634,774,607,1105,420,705,391,873,795
990,633,772,605,1105,419,703,391,872,793
989,632,771,605,1104,417,703,390,871,794
986,633,769,606,1103,419,700,390,868,794
986,632,768,605,1101,417,699,390,867,793
985,631,768,604,1100,417,699,389,868,792
986,632,769,604,1101,417,700,389,867,791
988,633,770,605,1103,419,700,390,869,792
990,634,772,605,1104,420,704,390,869,794
991,635,774,606,1105,422,705,390,871,795
990,635,774,607,1105,421,705,390,870,795
989,635,772,607,1104,421,704,390,867,795
