Reyex,Reyey,Leyex,Leyey,Rearx,Reary,Learx,Leary,nosex,nosey
1050,723,831,749,1066,408,737,433,963,932
1049,722,830,749,1065,408,735,434,962,932
1049,719,831,746,1064,406,733,432,965,929
1049,718,831,745,1063,405,734,431,965,928
1049,719,831,746,1064,406,733,432,964,928
1051,718,833,744,1064,406,733,432,965,924
1051,715,833,739,1064,404,735,431,966,919
1051,710,833,737,1063,402,736,430,967,920
1049,711,832,736,1063,403,736,432,964,920
1041,713,823,728,1065,405,737,430,948,915
1014,713,798,711,1066,419,737,427,908,901
966,719,759,691,1060,438,736,422,848,889
926,714,724,670,1048,442,737,409,790,871
898,689,702,641,1034,441,731,395,756,843
878,666,680,622,1013,421,713,386,726,822
860,649,661,609,1002,413,706,378,709,799
862,513,694,486,984,301,756,237,751,661
849,547,680,526,966,325,740,273,741,695
845,556,672,536,959,339,727,291,737,701
849,530,668,520,953,340,706,306,740,671
855,500,666,500,955,327,695,307,748,640
856,482,667,481,955,312,691,303,750,619
862,470,671,472,962,305,695,294,758,610
871,462,678,463,973,297,699,284,766,603
888,443,692,448,980,286,699,282,783,583
895,423,697,428,988,278,700,278,789,555
897,405,697,407,997,272,697,270,784,524
901,385,696,387,1004,264,698,257,783,492
899,380,695,379,1013,258,700,249,782,491
898,394,693,395,1013,256,698,249,775,530
901,424,693,424,1008,260,697,246,782,584
901,458,696,460,1006,272,692,256,791,625
901,486,697,488,1005,286,690,270,796,650
896,486,690,487,1001,298,688,284,784,639
892,470,686,472,1000,296,689,287,776,617
894,471,686,472,1003,295,691,285,779,623
893,480,686,483,1001,296,688,286,779,639
896,499,691,498,1001,299,689,283,783,668
894,515,693,514,999,300,690,284,785,690
892,534,693,530,997,308,690,288,785,710
891,547,694,546,992,314,689,292,790,726
888,556,694,552,989,320,690,299,782,727
881,567,689,556,987,333,696,309,772,738
876,582,683,570,986,343,695,314,766,753
874,588,682,576,983,345,695,315,764,761
870,598,677,587,976,351,691,321,762,773
872,608,681,595,972,355,689,326,765,784
871,618,683,602,973,357,689,327,768,795
861,630,678,616,966,362,689,328,760,802
847,638,668,621,957,365,693,324,742,805
837,643,662,625,949,368,695,321,735,808
836,644,663,627,945,361,697,320,738,808
832,649,661,629,940,362,698,322,735,818
833,659,663,638,941,367,699,326,735,833
827,663,659,640,937,368,698,328,728,833
869,630,699,637,929,348,687,311,799,801
878,643,708,650,933,353,684,321,812,810
902,654,731,665,947,354,691,334,836,824
906,655,734,661,958,358,695,334,835,823
909,650,736,659,957,352,695,334,838,818
915,642,739,655,947,348,686,340,850,808
929,634,755,657,952,347,687,348,868,803
945,632,770,657,961,345,690,357,890,800
959,629,784,658,966,350,696,361,908,800
979,629,804,660,978,354,704,366,922,803
1001,626,830,666,989,356,711,376,953,796
1021,616,851,664,991,350,710,390,978,787
1036,608,867,663,993,351,712,402,997,781
1054,600,884,657,1001,351,723,409,1025,773
1072,597,904,655,1012,347,734,411,1044,772
1087,599,917,658,1026,346,745,413,1059,776
1100,595,929,655,1037,345,758,411,1070,771
1116,589,950,653,1050,345,771,416,1091,761
1135,588,966,651,1070,350,788,421,1110,760
1148,588,979,654,1080,354,799,427,1127,764
1161,600,989,663,1094,360,809,436,1140,780
1165,612,992,677,1103,367,816,442,1139,793
1161,623,988,682,1105,369,822,443,1128,809
1155,627,981,682,1111,369,828,429,1118,813
1147,635,973,682,1108,368,824,425,1103,820
1143,633,972,679,1108,365,827,414,1099,822
1143,634,975,675,1109,365,840,414,1096,822
1205,649,1017,646,1217,347,921,373,1114,815
1172,652,975,647,1203,347,900,374,1071,833
1155,667,956,664,1183,351,879,381,1055,850
1137,666,940,668,1168,347,863,381,1039,848
1110,660,914,658,1148,341,848,375,1010,841
1093,651,897,645,1140,341,839,363,990,830
1081,639,886,633,1132,332,835,349,978,813
1059,624,867,615,1122,322,826,334,959,794
1053,615,862,608,1117,315,825,323,956,792
1047,632,857,621,1117,318,825,324,946,809
1033,650,848,634,1108,323,822,327,932,826
1022,659,838,647,1095,326,810,335,924,836
1000,669,822,647,1088,330,807,333,896,832
939,682,770,645,1070,354,797,329,839,834
950,564,774,568,1012,319,744,322,869,725
983,555,798,560,1039,316,758,323,897,720
1001,547,811,557,1044,319,763,333,912,707
1010,543,818,553,1052,323,767,335,923,704
1015,543,820,555,1056,331,766,346,930,701
1015,546,819,559,1060,338,764,358,927,706
1019,551,821,561,1063,338,764,356,931,709
1024,543,825,557,1064,335,762,355,937,701
1025,528,823,545,1061,329,758,357,938,683
1026,510,823,529,1062,323,755,351,940,662
1026,494,824,515,1063,314,752,341,945,646
1025,485,821,507,1064,303,749,335,938,638
1025,472,819,489,1063,290,751,326,937,620
1021,457,815,473,1065,285,749,313,926,606
1023,439,812,455,1067,280,749,304,932,583
1024,421,813,440,1067,264,745,290,935,565
1024,410,814,429,1068,246,744,274,933,560
1020,422,809,435,1073,242,739,263,925,584
1009,438,802,447,1068,243,736,261,910,610
1001,472,794,480,1061,253,735,272,906,648
1001,498,794,507,1061,272,737,286,910,672
1000,507,794,521,1051,277,732,297,911,680
1003,507,797,521,1053,279,738,298,914,678
998,512,793,527,1047,280,734,302,910,688
992,525,790,533,1048,282,737,298,898,703
987,540,789,544,1048,284,742,293,894,720
984,558,790,560,1043,290,746,293,892,741
979,575,788,576,1048,299,749,295,887,757
964,589,779,583,1046,306,757,296,877,765
964,605,779,602,1040,317,759,307,877,780
960,617,775,617,1035,322,754,316,873,791
947,624,765,623,1024,321,748,317,863,799
945,625,765,626,1017,316,744,318,864,801
943,619,765,622,1016,313,748,312,864,795
943,608,764,609,1013,306,750,306,863,785
943,603,765,602,1016,304,752,303,860,780
936,602,759,597,1013,306,754,303,849,779
935,608,758,603,1012,310,756,308,849,784
935,609,757,603,1016,314,759,310,847,785
931,612,753,607,1011,317,755,313,842,787
931,614,751,611,1010,321,753,316,841,789
930,616,750,609,1011,323,756,316,839,790
931,617,750,612,1012,324,758,317,841,790
932,616,752,611,1015,326,761,318,842,788
931,614,752,609,1016,323,762,317,837,785
930,617,750,612,1013,325,761,318,839,789
929,619,749,614,1011,327,759,320,838,791
927,618,748,613,1009,325,759,318,837,791
927,617,749,612,1010,325,759,318,837,790
929,617,749,613,1010,325,760,319,838,791
929,617,750,613,1010,325,760,319,838,790
930,616,750,611,1012,324,761,319,837,789
930,614,751,610,1013,323,762,318,836,787
930,614,751,609,1014,323,763,318,837,785
931,613,752,609,1014,322,763,319,838,783
931,612,752,607,1017,322,764,318,838,783
931,615,751,610,1015,323,763,319,836,787
928,617,750,612,1013,323,762,319,835,788
927,618,748,613,1011,325,760,319,834,789
928,617,749,612,1012,324,761,319,834,789
930,616,749,612,1013,324,762,319,837,789
931,616,750,613,1013,324,762,319,838,789
931,616,750,613,1013,324,763,319,838,789
931,616,750,613,1014,324,762,319,838,789
931,615,751,613,1014,324,763,319,838,789
931,615,751,612,1014,323,763,319,839,789
930,616,751,612,1014,323,763,320,839,789
931,615,751,612,1014,323,763,319,838,789
931,615,751,612,1014,323,763,319,838,790
931,615,752,611,1014,322,764,319,837,788
931,615,751,611,1014,322,764,319,835,788
931,615,751,610,1014,323,764,319,835,788
931,615,751,611,1014,322,764,319,835,788
930,614,751,609,1013,322,763,319,835,788
930,614,751,609,1013,322,763,319,836,787
929,614,751,609,1013,323,763,319,836,787
929,613,751,609,1013,323,763,319,836,786
930,613,751,609,1014,321,764,319,837,785
930,613,751,608,1014,321,765,319,837,785
929,612,751,607,1014,321,765,319,836,783
930,613,752,608,1014,322,765,319,837,784
930,613,751,610,1015,322,765,319,836,784
929,614,751,610,1014,323,764,319,836,786
929,615,750,611,1013,323,762,319,835,788
929,615,750,611,1012,325,762,320,834,787
929,614,751,610,1013,323,763,319,834,787
929,614,751,610,1013,323,763,319,835,786
930,613,752,609,1015,324,764,319,836,785
930,612,752,609,1016,323,765,319,836,785
930,613,752,608,1016,323,764,319,835,785
929,613,752,609,1015,322,764,319,835,786
929,613,751,609,1014,322,764,319,834,785
929,613,751,608,1016,321,764,319,835,784
929,612,752,608,1016,322,765,319,835,784
930,612,752,608,1016,323,765,319,835,783
930,611,752,607,1016,323,765,319,836,781
930,610,752,606,1017,324,766,319,836,780
929,612,751,608,1015,324,765,319,835,783
929,613,751,609,1013,323,764,320,834,784
928,613,750,610,1014,323,763,320,834,785
928,613,750,610,1013,323,763,320,833,786
929,613,750,609,1014,322,764,320,834,786
930,613,751,609,1015,322,765,319,835,785
930,613,751,609,1016,323,765,319,835,785
930,613,751,608,1016,322,765,319,835,785
929,613,751,608,1014,322,765,319,834,785
929,612,751,608,1014,321,764,319,834,785
929,613,751,608,1015,322,764,319,834,785
929,613,751,608,1016,323,765,319,834,785
929,613,751,608,1016,324,764,319,834,785
930,612,752,607,1017,324,765,319,835,784
930,611,752,607,1018,324,765,319,835,784
930,612,752,608,1018,324,765,319,836,784
929,612,752,607,1017,323,765,319,835,783
930,611,753,606,1018,323,766,319,837,780
931,611,754,606,1020,325,767,319,837,781
931,611,753,607,1020,325,767,319,838,783
930,613,752,608,1018,324,766,320,836,784
929,613,751,610,1016,324,766,319,835,785
929,614,750,611,1015,325,764,320,834,788
929,614,751,610,1014,325,765,320,833,786
927,616,749,610,1015,325,764,320,828,786
899,635,737,614,1015,332,763,318,801,786
962,437,786,466,1009,273,702,323,898,579
989,429,809,458,1021,269,706,314,935,566
1013,431,831,463,1036,271,720,322,963,563
1037,433,861,477,1043,272,731,330,1001,572
1061,428,886,481,1056,271,743,338,1031,566
1071,409,901,465,1064,268,752,337,1049,542
1081,390,908,442,1076,263,758,329,1058,513
1083,380,910,431,1078,253,761,318,1062,506
1089,384,913,433,1074,244,757,317,1062,511
1098,387,919,438,1082,243,764,306,1070,523
1097,403,917,453,1080,245,761,317,1064,551
1106,417,920,462,1076,254,761,328,1068,562
1109,415,924,459,1078,259,762,334,1076,551
1113,415,928,462,1075,258,759,337,1084,557
1122,423,938,472,1078,259,763,337,1093,572
1133,427,952,478,1084,260,770,340,1118,576
1139,431,959,492,1080,256,770,347,1125,590
1148,448,970,508,1084,257,778,348,1135,613
1159,460,979,518,1085,257,785,352,1140,624
1161,465,985,526,1083,259,785,358,1148,634
1164,467,993,529,1089,261,791,358,1158,639
1167,473,993,534,1092,263,795,358,1159,643
1167,475,992,537,1093,265,794,360,1157,647
1169,479,995,541,1100,267,798,360,1158,654
