Reyex,Reyey,Leyex,Leyey,Rearx,Reary,Learx,Leary,nosex,nosey
987,610,809,557,1151,359,828,300,855,764
979,611,803,564,1133,356,823,304,854,771
966,618,794,573,1117,373,812,312,838,778
954,628,782,579,1098,376,803,318,833,787
918,580,733,589,1000,361,709,310,834,745
936,568,749,586,1017,346,710,315,855,740
950,565,758,585,1027,337,710,319,869,740
958,570,763,585,1039,343,715,323,873,745
962,581,767,593,1045,350,715,336,875,758
961,589,767,600,1040,357,714,344,877,768
965,594,772,602,1043,358,716,344,881,773
968,596,773,603,1047,360,719,344,881,775
964,598,771,608,1041,362,715,347,878,776
963,596,768,601,1044,362,716,344,873,769
961,596,766,600,1045,362,718,342,868,771
958,597,762,601,1044,366,716,345,865,771
961,598,764,602,1046,366,717,344,866,772
959,602,764,606,1047,371,717,348,865,776
959,602,764,606,1044,371,715,349,865,776
963,601,767,604,1048,371,719,349,869,778
964,604,768,607,1050,374,720,350,870,780
964,605,768,608,1049,375,719,351,871,781
965,603,769,607,1049,374,719,351,871,779
966,603,769,607,1051,374,721,350,871,778
963,606,766,609,1049,376,718,351,869,783
962,608,767,612,1047,378,716,354,869,784
963,608,768,613,1047,378,716,355,870,785
963,607,767,609,1048,378,718,353,869,784
964,606,768,610,1048,378,717,354,870,784
965,606,769,608,1050,377,721,352,871,783
965,606,769,608,1050,377,720,353,870,784
964,606,769,608,1050,377,719,354,871,784
966,605,770,606,1052,377,722,352,871,781
967,603,770,604,1052,375,723,350,871,778
965,604,768,604,1050,375,721,351,870,779
964,605,767,607,1049,377,719,353,870,781
964,606,769,609,1049,378,719,354,870,782
964,607,768,609,1049,379,718,355,870,783
964,607,769,609,1049,378,719,354,871,783
965,607,769,610,1049,379,719,355,871,784
965,607,770,610,1050,379,720,355,871,784
965,606,770,608,1051,378,721,354,871,783
966,605,770,606,1051,377,721,354,871,782
966,605,770,606,1051,377,722,354,871,781
966,605,770,606,1052,377,722,353,871,780
965,606,769,606,1052,377,722,353,870,780
965,606,769,608,1050,379,721,354,870,781
965,607,769,609,1050,379,720,355,871,783
964,609,769,612,1049,381,719,357,870,785
964,608,769,612,1048,380,719,356,870,784
964,608,769,610,1049,379,719,355,870,784
964,607,769,610,1049,379,719,355,871,784
964,607,769,610,1049,379,720,355,871,784
965,607,770,609,1050,378,721,354,871,782
966,605,772,607,1052,378,722,353,871,780
966,605,772,607,1053,378,724,352,871,779
966,605,772,607,1053,378,724,353,871,779
965,607,771,609,1051,379,721,355,871,782
965,608,770,612,1050,381,719,358,871,784
965,608,770,612,1050,381,719,357,871,785
965,608,770,613,1050,381,719,358,870,785
965,608,770,613,1049,381,719,358,871,785
965,608,770,612,1050,381,720,357,871,785
965,608,770,611,1050,380,721,356,871,784
966,607,771,610,1051,380,722,355,872,784
966,608,772,610,1051,380,722,356,872,784
966,607,772,609,1052,379,723,355,872,783
966,607,772,609,1053,379,725,354,872,782
966,608,771,610,1051,380,723,355,871,782
965,609,770,612,1051,382,720,358,870,784
966,609,770,613,1050,383,720,358,871,785
966,610,770,614,1049,383,719,359,871,786
966,609,770,613,1050,383,720,358,871,787
967,610,770,615,1050,382,719,359,872,788
967,610,771,614,1050,382,720,359,872,788
966,610,771,613,1050,381,719,359,872,787
966,608,772,611,1050,380,722,357,872,784
967,608,772,609,1053,379,723,356,873,783
967,608,772,609,1052,379,724,355,873,783
967,607,772,609,1052,379,724,355,872,781
966,608,771,609,1051,379,722,355,872,782
966,608,771,610,1050,380,721,356,872,782
966,609,770,613,1050,382,720,358,871,785
965,610,769,613,1049,383,720,359,870,786
962,611,768,612,1047,385,718,364,868,788
947,617,759,614,1036,398,713,374,852,789
899,548,705,554,990,353,697,310,796,710
899,534,702,531,1004,341,700,304,788,688
902,531,703,522,1012,340,702,298,786,683
903,535,703,524,1014,342,702,299,786,691
902,548,703,540,1012,350,700,307,785,708
903,557,704,548,1011,354,695,313,788,716
905,564,706,553,1013,360,693,317,791,723
905,560,705,547,1016,363,696,317,787,716
902,547,703,530,1018,355,699,308,781,697
903,544,704,528,1019,352,698,306,784,694
904,547,705,530,1020,352,701,308,784,699
